City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,viitasaari,63.0667,25.8667,54.43,92,100,3.49,FI,23/07/22
243,nogliki,51.8333,143.1667,63.57,87,80,12.24,RU,23/07/22
244,prince george,53.9166,-122.753,74.25,53,100,1.01,CA,23/07/22
245,turkmenbasy,40.0222,52.9552,82.29,44,0,11.18,TM,23/07/22
246,port saint john's,-31.6229,29.5448,65.28,52,49,5.37,ZA,23/07/22
247,haiku-pauwela,20.9219,-156.3051,86.02,60,40,23.02,US,23/07/22
248,kununurra,-15.7667,128.7333,67.98,40,24,12.66,AU,23/07/22
249,inhapim,-19.5492,-42.12,73.99,51,9,5.57,BR,23/07/22
250,nelson bay,-32.7167,152.15,48.0,90,69,11.01,AU,23/07/22
251,bonthe,7.5264,-12.505,77.31,87,75,10.2,SL,23/07/22
252,la'ie,21.6477,-157.9253,86.0,70,64,12.68,US,23/07/22
253,utrik,11.2278,169.8474,82.74,72,19,18.3,MH,23/07/22
254,suomussalmi,64.8869,28.9078,54.03,96,100,4.38,FI,23/07/22
255,carutapera,-1.195,-46.02,78.42,78,59,7.36,BR,23/07/22
256,east london,-33.0153,27.9116,64.76,73,22,11.7,ZA,23/07/22
257,maintirano,-18.0667,44.0167,73.13,82,2,11.16,MG,23/07/22
258,uturoa,-16.7333,-151.4333,76.44,74,93,12.82,PF,23/07/22
259,port victoria,0.0939,33.9756,72.5,63,57,3.74,KE,23/07/22
260,leava,-14.3,-178.1667,79.11,75,61,7.78,WF,23/07/22
261,georgetown,5.4112,100.3354,82.33,78,20,1.14,MY,23/07/22
262,mana,5.6592,-53.7767,80.62,84,9,9.57,GF,23/07/22
263,inarajan village,13.2736,144.7484,81.0,96,100,11.48,GU,23/07/22
264,broome,42.2506,-75.833,79.7,55,75,10.36,US,23/07/22
265,villa gesell,-37.2639,-56.973,53.06,96,100,19.98,AR,23/07/22
266,tarapur,19.85,72.7,79.86,88,100,15.39,IN,23/07/22
267,tateyama,34.9833,139.8667,73.13,86,96,6.26,JP,23/07/22
268,hilo,19.7297,-155.09,82.13,82,75,6.91,US,23/07/22
269,sergeyevka,53.88,67.4158,63.41,71,99,7.61,KZ,23/07/22
270,aksu,41.1231,80.2644,84.78,27,94,4.27,CN,23/07/22
271,nkhata bay,-11.6066,34.2907,68.0,73,14,5.95,MW,23/07/22
272,saudarkrokur,65.7461,-19.6394,50.2,75,57,3.62,IS,23/07/22
273,luwingu,-10.2621,29.9271,56.97,55,7,3.49,ZM,23/07/22
274,aasiaat,68.7098,-52.8699,38.89,98,100,8.05,GL,23/07/22
275,okhotsk,59.3833,143.3,58.48,92,93,3.87,RU,23/07/22
276,wajir,1.7471,40.0573,76.62,71,95,19.08,KE,23/07/22
277,kailua-kona,19.6406,-155.9956,86.5,77,100,9.22,US,23/07/22
278,karratha,-20.7377,116.8463,62.11,23,0,20.49,AU,23/07/22
279,kolonia town,6.964,158.206,84.2,74,100,3.44,FM,23/07/22
280,yauya,-8.9833,-77.3,64.72,23,0,3.56,PE,23/07/22
281,crane,31.3974,-102.3501,96.62,24,100,7.67,US,23/07/22
282,pimentel,-6.8367,-79.9342,77.29,65,0,13.8,PE,23/07/22
283,oranjemund,-28.55,16.4333,52.38,73,100,5.19,NA,23/07/22
284,malabar,-33.9667,151.25,49.05,79,40,5.75,AU,23/07/22
285,new norfolk,-42.7826,147.0587,42.71,95,26,2.82,AU,23/07/22
286,allen,41.0706,-85.0144,84.18,47,40,8.05,US,23/07/22
